l_simp_chinese:
 religion_swap.1.t:0 "State Religion"
 religion_swap.1.f:0 "Perhaps the majority of our people follow another religion. A religion that could suit our plans better, we are here today to rectifiy that. Therefore we shall review the most common religions.\n(You can open this event again via the debug decision that becomes available once the syncretic culture journal goes active)"
 religion_swap.1.a:0 "Judeo-Christian"
 religion_swap.1.b:0 "Islamic-Atheist-Animist"
 religion_swap.1.c:0 "Asian and Far-Eastern Religions"
 religion_swap.1.d:0 "Just keep ours for now."
 religion_swap.back:0 "Go back"
 religion_swap.2.t:0 "Judeo-Christian Religions"
 religion_swap.2.f:0 "These religions are part of this category:"
 religion_swap.2.a:0 "[GetReligion('catholic').GetName]"
 religion_swap.2.b:0 "[GetReligion('protestant').GetName]"
 religion_swap.2.c:0 "[GetReligion('orthodox').GetName]"
 religion_swap.2.d:0 "[GetReligion('oriental_orthodox').GetName]"
 religion_swap.2.e:0 "[GetReligion('jewish').GetName]"
 religion_swap.3.t:0 "Islamic, Atheist and Animist Religions"
 religion_swap.3.f:0 "These religions are part of this category:"
 religion_swap.3.a:0 "[GetReligion('shiite').GetName]"
 religion_swap.3.b:0 "[GetReligion('sunni').GetName]"
 religion_swap.3.c:0 "[GetReligion('atheist').GetName]"
 religion_swap.3.d:0 "[GetReligion('animist').GetName]"
 religion_swap.4.t:0 "Asian and Far-Eastern Religions"
 religion_swap.4.f:0 "These religions are part of this category:"
 religion_swap.4.a:0 "[GetReligion('mahayana').GetName]"
 religion_swap.4.b:0 "[GetReligion('gelugpa').GetName]"
 religion_swap.4.c:0 "[GetReligion('theravada').GetName]"
 religion_swap.4.d:0 "[GetReligion('hindu').GetName]"
 religion_swap.4.e:0 "[GetReligion('shinto').GetName]"
 religion_swap.4.g:0 "[GetReligion('sikh').GetName]"
 religion_swap.4.h:0 "[GetReligion('confucian').GetName]"
 ig_atheists:0 "Atheists"
 ig_atheists_desc:0 "There is no god. Deal with it."
 
 rule_syncretic_cultures:0 "Syncretic Cultures"
 enable_global_conversion_decision:0 "Enable Max AI Syncretic Culture Conversion"
 enable_global_conversion_decision_desc:0 "Set non-player syncretic culture conversions to 100%. Will start to affect the next yearly conversion events."
 disable_global_conversion_decision:0 "Disable Max AI Syncretic Culture Conversion"
 disable_global_conversion_decision_desc:0 "Set non-player syncretic culture conversions to default percentage. Will start to affect the next yearly conversion events"
 global_conversion_active_var_custom_tooltip:0 "Non-player syncretic culture conversion set to 100%"
 global_conversion_active_not_var_custom_tooltip:0 "Non-player syncretic culture conversion set to default percentages"
 setting_entirely_player_controlled:0 "Entirely Player Controlled"
 setting_entirely_player_controlled_desc:0 "Default - Only those chosen by the player via rules or ingame tag switching will occurr."
 setting_immersive_syncretic_cultures_allowed:0 "Authors Choice"
 setting_immersive_syncretic_cultures_allowed_desc:0 "A plausible subset of Syncretic Cultures will spawn. Its as if you enabled them culture by culture with the other rules. Having this and the same culture rule ticked again will work just fine. An exhaustive list of -immersive- syncretic cultures can be found on github."
 has_picked_a_syncretic_culture_custom_tooltip:0 "Has picked a Syncretic Culture for this country"
 country_var_equal:0 "Culture never truly stops changing (100 yearly ticks). There will the same event at 30, 50 and 70 years, asking you to take further measures or none at all. Each yearly tick will also check your country for new potential homelands, aka if you conquered one of your old homelands it will trigger a new homeland event."
 afghan:0 "Afghan"
 standardize_afghan_decision_var_custom_tooltip:0 "Has made the decision to develop the Afghan culture"
 standardize_afghan_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the Afghan culture"
 standardize_afghan_decision:0 "Develop the Afghan Culture"
 standardize_afghan_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_afghan:0 "Develop Afghan"
 je_standardize_afghan_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_afghan.1.t:0 "Emerging Afghan Culture"
 standardize_afghan.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as Afghan."
 standardize_afghan.1.a:0 "And so it shall be."
 standardize_afghan.2.t:0 "Yearly graduation"
 standardize_afghan.2.f:0 "New graduates."
 standardize_afghan.2.a:0 "Nice."
 standardize_afghan.3.t:0 "A Noticeable Cultural Change"
 standardize_afghan.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_afghan.3.a:0 "A sign of progress."
 standardize_afghan.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_afghan.3.c:0 "We should push harder!"
 standardize_afghan.4.t:0 "Welcome To The Fold"
 standardize_afghan.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_afghan.4.a:0 "All I see is family!"
 standardize_afghan.5.t:0 "(Hidden) Yearly Conversion Event"
